1,Stone
2,Grass Block
3,Dirt
4,Cobblestone
5,Oak Wood Planks
5:1,Spruce Wood Planks
5:2,Birch Wood Planks
5:3,Jungle Wood Planks
6,Oak Sapling
6:1,Spruce Sapling
6:2,Birch Sapling
6:3,Jungle Sapling
7,Bedrock
8,Water (No Spread)
9,Water
10,Lava (No Spread)
11,Lava
12,Sand
13,Gravel
14,Gold Ore
15,Iron Ore
16,Coal Ore
17,Oak Wood
17:1,Spruce Wood 
17:1,Spruce Wood 
17:2,Birch Wood 
17:3,Jungle Wood 
18,Oak Leaves
18:1,Spruce Leaves
18:2,Birch Leaves
18:3,Jungle Leaves
19,Sponge
20,Glass
21,Lapis Lazuli Ore
22,Lapis Lazuli Block
23,Dispenser
24,Sandstone
25,Note Block
26,Bed
27,Powered Rail
28,Detector Rail
29,Sticky Piston
30,Web
31,Shrub
31:1,Grass
31:2,Fern
32,Dead Bush
33,Piston
34,Piston (Head)
35,Wool
35:1,Orange Wool
35:2,Magenta Wool
35:3,Light Blue Wool
35:4,Yellow Wool
35:5,Lime Wool
35:6,Pink Wool
35:7,Gray Wool
35:8,Light Gray Wool
35:9,Cyan Wool
35:10,Purple Wool
35:11,Blue Wool
35:12,Brown Wool
35:13,Green Wool
35:14,Red Wool
35:15,Black Wool
37,Dandelion
38,Rose
39,Brown Mushroom
40,Red Mushroom
41,Block of Gold
42,Block of Iron
43,Stone Slab (Double)
43:1,Sandstone Slab (Double)
43:2,Wooden Slab (Double)
43:3,Cobblestone Slab (Double)
43:4,Brick Slab (Double)
43:5,Stone Brick Slab (Double)
44,Stone Slab
44:1,Sandstone Slab
44:2,Wooden Slab
44:3,Cobblestone Slab
44:4,Brick Slab
44:5,Stone Brick Slab
45,Brick
46,TNT
47,Bookcase
48,Moss Stone
49,Obsidian
50,Torch
51,Fire
52,Mob Spawner
53,Oak Wood Stairs
54,Chest
55,Redstone Wire
56,Diamond Ore
57,Block of Diamond
58,Workbench
59,Wheat (Crop)
60,Farmland
61,Furnace
62,Furnace (Smelting)
63,Sign (Block)
64,Wood Door (Block)
65,Ladder
66,Rails
67,Cobblestone Stairs
68,Sign (Wall Block)
69,Lever
70,Stone Pressure Plate
71,Iron Door (Block)
72,Wooden Pressure Plate
73,Redstone Ore
74,Redstone Ore (Glowing)
75,Redstone Torch (Off)
76,Redstone Torch
77,Stone Button
78,Snow
79,Ice
80,Snow Block
81,Cactus
82,Clay Block
83,Sugar Cane (Block)
84,Jukebox
85,Fence
86,Pumpkin
87,Netherrack
88,Soul Sand
89,Glowstone
90,Portal
91,Jack-O-Lantern
92,Cake (Block)
93,Redstone Repeater (Block Off)
94,Redstone Repeater (Block On)
95,Locked Chest
96,Trapdoor
97,Silverfish Stone
98,Stone Bricks
98:1,Mossy Stone Bricks
98:2,Cracked Stone Bricks
99,Brown Mushroom (Block)
100,Red Mushroom (Block)
101,Iron Bars
102,Glass Pane
103,Melon (Block)
104,Pumpkin Vine
105,Melon Vine
106,Vines
107,Fence Gate
108,Brick Stairs
109,Stone Brick Stairs
110,Mycelium
111,Lily Pad
112,Nether Brick
113,Nether Brick Fence
114,Nether Brick Stairs
115,Nether Wart
116,Enchantment Table
117,Brewing Stand (Block)
118,Cauldron (Block)
119,End Portal
120,End Portal Frame
121,End Stone
122,Dragon Egg
123,Redstone Lamp (Inactive)
124,Redstone Lamp (Active)
125,Double Wood Slab
126,Wood Slab
127,Cocoa Plant
128,Sandstone Stairs
129,Emerald Ore
130,Ender Chest
131,Tripwire Hook
132,Tripwire
133,Emerald Block
134,Spruce Wood Stairs
135,Birch Wood Stairs
136,Jungle Wood Stairs
137,Command Block
138,Beacon Block
139,Cobblestone Wall
140,Flower Pot
141,Carrots
142,Potatoes
143,Wooden Button
256,Iron Shovel 
257,Iron Pickaxe
258,Iron Axe
259,Flint and Steel
260,Apple
261,Bow
262,Arrow
263,Coal
263:1,Charcoal
264,Diamond Gem
265,Iron Ingot
266,Gold Ingot
267,Iron Sword
268,Wooden Sword
269,Wooden Shovel
270,Wooden Pickaxe
271,Wooden Axe
272,Stone Sword
273,Stone Shovel
274,Stone Pickaxe
275,Stone Axe
276,Diamond Sword
277,Diamond Shovel
278,Diamond Pickaxe
279,Diamond Axe
280,Stick
281,Bowl
282,Mushroom Stew
283,Gold Sword
284,Gold Shovel
285,Gold Pickaxe
286,Gold Axe
287,String
288,Feather
289,Gunpowder
290,Wooden Hoe
291,Stone Hoe
292,Iron Hoe
293,Diamond Hoe
294,Gold Hoe
295,Wheat Seeds
296,Wheat
297,Bread
298,Leather Helmet
299,Leather Chestplate
300,Leather Leggings
301,Leather Boots
302,Chainmail Helmet
303,Chainmail Chestplate
304,Chainmail Leggings
305,Chainmail Boots
306,Iron Helmet
307,Iron Chestplate
308,Iron Leggings
309,Iron Boots
310,Diamond Helmet
311,Diamond Chestplate
312,Diamond Leggings
313,Diamond Boots
314,Gold Helmet
315,Gold Chestplate
316,Gold Leggings
317,Gold Boots
318,Flint
319,Raw Porkchop
320,Cooked Porkchop
321,Painting
322,Gold Apple
323,Sign
324,Wooden Door
325,Bucket
326,Water Bucket
327,Lava Bucket
328,Minecart
329,Saddle
330,Iron Door
331,Redstone Dust
332,Snowball
333,Boat
334,Leather
335,Milk Bucket
336,Clay Brick
337,Clay
338,Sugar Cane
339,Paper
340,Book
341,Slime Ball
342,Storage Minecart
343,Powered Minecart
344,Egg
345,Compass
346,Fishing Rod
347,Watch
348,Glowstone Dust
349,Raw Fish
350,Cooked Fish
351,Ink Sack
351:1,Rose Red Dye
351:2,Cactus Green Dye
351:3,Coca Bean
351:4,Lapis Lazuli
351:5,Purple Dye
351:6,Cyan Dye
351:7,Light Gray Dye
351:8,Gray Dye
351:9,Pink Dye
351:10,Lime Dye
351:11,Dandelion Yellow Dye
351:12,Light Blue Dye
351:13,Magenta Dye
351:14,Orange Dye
351:15,Bone Meal
352,Bone
353,Sugar
354,Cake
355,Bed
356,Redstone Repeater
357,Cookie
358,Map
359,Shears
360,Melon (Slice)
361,Pumpkin Seeds
362,Melon Seeds
363,Raw Beef
364,Steak
365,Raw Chicken
366,Cooked Chicken
367,Rotten Flesh
368,Ender Perl
369,Blaze Rod
370,Ghast Tear
371,Gold Nugget
372,Nether Wart Seeds
373,Water Bottle
373:16,Awkward Potion
373:32,Thick Potion
373:64,Mundane Potion
373:8193,Regeneration Potion (0:45)
373:8194,Swiftness Potion (3:00)
373:8195,Fire Resistance Potion (3:00)
373:8196,Poison Potion (0:45)
373:8197,Healing Potion
373:8200,Weakness Potion (1:30)
373:8201,Strength Potion (3:00)
373:8202,Slowness Potion (1:30)
373:8204,Harming Potion
373:8225,Regeneration Potion II (0:22)
373:8226,Swiftness Potion II (1:30)
373:8228,Poison Potion II (0:22)
373:8229,Healing Potion II
373:8233,Strength Potion II (1:30)
373:8236,Harming Potion II
373:8257,Regeneration Potion (2:00)
373:8258,Swiftness Potion (8:00)
373:8259,Fire Resistance Potion (8:00)
373:8260,Poison Potion (2:00)
373:8264,Weakness Potion (4:00)
373:8265,Strength Potion (8:00)
373:8266,Slowness Potion (4:00)
373:16378,Fire Resistance Splash (2:15)
373:16385,Regeneration Splash (0:33)
373:16386,Swiftness Splash (2:15)
373:16388,Poison Splash (0:33)
373:16389,Healing Splash
373:16392,Weakness Splash (1:07)
373:16393,Strength Splash (2:15)
373:16394,Slowness Splash (1:07)
373:16396,Harming Splash
373:16418,Swiftness Splash II (1:07)
373:16420,Poison Splash II (0:16)
373:16421,Healing Splash II
373:16425,Strength Splash II (1:07)
373:16428,Harming Splash II
373:16449,Regeneration Splash (1:30)
373:16450,Swiftness Splash (6:00)
373:16451,Fire Resistance Splash (6:00)
373:16452,Poison Splash (1:30)
373:16456,Weakness Splash (3:00)
373:16457,Strength Splash (6:00)
373:16458,Slowness Splash (3:00)
373:16471,Regeneration Splash II (0:16)
374,Glass Bottle
375,Spider Eye
376,Fermented Spider Eye
377,Blaze Powder
378,Magma Cream
379,Brewing Stand
380,Cauldron
381,Eye of Ender
382,Glistering Melon (Slice)
2256,Music Disk (13)
2257,Music Disk (Cat)
2258,Music Disk (Blocks)
2259,Music Disk (Chirp)
2260,Music Disk (Far)
2261,Music Disk (Mall)
2262,Music Disk (Mellohi)
2263,Music Disk (Stal)
2264,Music Disk (Strad)
2265,Music Disk (Ward)
2266,Music Disk (11)
